detectedEmotion,emotion,lemmatisation,rate,text,words,wordsAfterLemmatisation,wordsFound
negative,negative,"[szał, on, nie, mój, mieć, niebezpieczny, dla, młody, młoda, młode, dziewczę, poukładać, on, nie, wiedzieć, jak, jaka, tu]",3.0,"szału nie ma, panieNudny, wtorny, niebezpieczny dla młodych dziewcząt z niepoukładanymi wartościami. I nie wiem jak mozna dac tu 10/10, film nie zasłuzył na wysokie noty. Historia jest naiwna, ale naiwnych ludzi nie brakuje na świecie. A za naiwnosc sie płaci (zycie zna takie historie kiedy silny i pociagajacy samiec alfa czasem przygrzmoci naszej romantyczce lub zostawi bidulę z brzuchem i dalej poleci rozsiewac ...",64.0,18.0,5.0
positive,negative,"[komedia, romantyczny, soft, dosłownie, wiać, wieja, beznadzieja, on, nie, doszukać, się, żaden, pozytywny, grać, sztywno, schematycznie, jakby, ród, rod, wyjąć, licealny, koło, koł, koła, kół, nadawać, się, raczej, raczy, bardzo, do, tani, porno, niżyć, niża, nizać, niż, produkcja, kinowy, cały, historia, być, dla, zagubić, zagubiony, średnio, inteligentny, kobieta, który, marzyć, ojciec, ocean, bycie, być]",1.0,"Połączenie komedii romantycznej z soft porno.Film dosłownie wieje beznadzieją, nie doszukałem się żadnych pozytywnych aspektów. Postacie grane sztywno, schematycznie, jakby rodem wyjęte z licealnego koła teatralnego. Dialogi nadają się raczej bardziej do taniego porno, niż produkcji kinowej, a cała historia jest odrealniona. Film dla zagubionych, średnio inteligentnych kobiet, które marzą o byciu zniewolonym.",53.0,54.0,14.0
negative,negative,"[film, dla, krytyk, bo, krytykować, można, możny, wiek, on, nim, ulegać, opinia, wyrabiać, się, zdanie, zdać, dopiero, po, obejrzeć, nigdy, on, nie, żałować, taka, tak, spędzić, dwa, aktorski, Ciężka, mówić, ojciec, ocean, coś, czego, co, on, nie, aktor, wyłonić, chyba, przez, emocja, emocje, przekaz, spodziewać, się, górnolotny, seans, ale, naprawdę, film, można, możny, być, zrobić, ojciec, ocean, wiele]",2.0,"Idealny film dla krytyków, bo krytykować można w nim wszystko.Nie ulegam opiniom i wyrabiam sobie zdanie dopiero po obejrzeniu filmu. Chyba nigdy nie żałowałam tak spędzonych dwóch godzin. Gra aktorska? Ciężko mówić o czymś, czego nie było. Główni aktorzy wyłonieni chyba przez niewidomego. Zero emocji, przekazu treści. Nie spodziewałam się górnolotnego seansu, ale naprawdę film można było zrobić o wiele, WIELE ...",61.0,58.0,10.0
negative,negative,"[totalny, wrazić, wrażenie, że, ojciec, ocean, nic, niczym, zwłaszcza, wiek, moment, wiek, który, się, dokładny, wyjaśnienie, wyjaśnienia, ojciec, ocean, co, właściwie, aktorski, tekst, taka, tak, drętwy, że, trud, się, za, tym, ten, to, aktor, który, grać, gra, to, ten, wyglądać, jak, jaka]",1.0,"Chciałabym odzobaczyćfilm totalna klapa. Mam wrażenie, że o niczym, zwłaszcza w momencie, w którym się zakończył. Brak dokładnych wyjaśnień o co właściwie chodzi. Gra aktorska i teksty tak drętwe, że z trudem się ogląda. Po za tym aktor, który gra to ""mega-hiper-super ciacho"".. wygląda jak chłopiec.",46.0,42.0,15.0
negative,negative,"[stanowczo, film, bez, beza, głęboki, głębszy, ratować, go, on, nawet, przyzwoity, dialog, brak, klimat, nuda]",3.0,"PłytkiOdradzam stanowczo, film bez głębszego przesłania. Nie ratuje go nawet przyzwoita muzyka. Kiepskie dialogi, brak klimatu, nuda ...",18.0,15.0,5.0
negative,positive,"[ładnie, zrobić, rozumieć, tyle, negatywny, opinia, na, temat, to, ten, film, że, soft, porno, że, dla, gimbus, bądź, być, niewyżyty, wyżyć, kur, kura, być, na, podstawa, książka, taka, taki, już, być, ten, ta, historia, taka, taki, on, autorka, autorek, napisać, więc, wiek, film, być, trochę, trocha, seks, sex, ciężko, żeby, go, on, on, nie, być, wiek, film, ojciec, ocean, właśnie, taki, iść, do, kino, kin, kina, chyba, każdy, wiedzieć, ojciec, ocean, czym, co, być, ten, film, więc, jak, jaka, ktoś, on, nie, pasować, to, ten, niech, na]",8.0,"Film ładnie zrobiony Nie rozumiem tylu negatywnych opinii na temat tego filmu, że soft porno, że dla gimbusów bądź niewyżytych kur domowych. Film jest na podstawie książki, taka już jest ta historia, taką ją autorka napisała więc w filmie jest trochę seksu, ciężko żeby go nie było w filmie o właśnie takiej tematyce. Ponadto idąc do kina chyba każdy wie o czym jest ten film, więc jak komuś nie pasuje to niech na niego ...",74.0,87.0,15.0
negative,negative,"[czas, taka, taki, oceniać, to, ten, coś, co, on, nie, zasługiwać, na, miana, mieć, miano, film, no, chyba, że, znajść, znaleźć, jakiś, nowa, nowy, kategoria, bo, ani, to, ten, ani, to, ten, straszny, czas, że, lud, człowiek, ludzie, uznać, uznawać, za, ciekawy, bicie, bit, bić, traktowanie, traktować, on, jak, jaka, przedmiot, no, jeszcze, dorabiać, do, to, ten]",2.0,"Jakie czasy ... taka podnieta...Cóż... Trudno oceniać to coś co nie zasługuje na miano filmu, no chyba, że znajdziemy jakąś nową kategorię - bo ani to porno.... ani romans. Jakie to straszne czasy, że ludzie uznają za ciekawe bicie kobiet... i traktowanie ich jak przedmiot - no i jeszcze dorabiają do tego historię...",53.0,57.0,12.0
positive,negative,"[rzadko, się, zdarzać, się, zdarzać, że, żałować, że, jakiś, film, wat, tym, ten, to, wypadek, niestety, ładny, mebel, dobry, muzyka, wiek, film, on, nie, być, nic, nica, interesujący, interesować]",2.0,"rzadko się zdarza                        Rzadko się zdarza, że żałuję, że jakiś film obejrzałam. W tym wypadku niestety żałuje. Poza ładnymi meblami i dobrą muzyką, w filmie nie było nic interesującego              ",29.0,29.0,8.0
negative,negative,"[przeczytać, książka, książka, jak, jaka, on, ja, miąć, on, nie, powalić, na, kolano, ale, była, były, być, nawet, do, poczytać, taka, tak, wiek, film, większość, treść, treści, zostać, okroić, dosycić, dosyć, mocno, okroić, przez, co, film, minuta, na, minuta, coraz, bardzo, zawodzić, przychylać, ja, miąć, raczej, raczy, ku, opinia, że, być]",2.0,"Po przeczytaniu książki                         Przeczytałam książkę i jak ona mnie nie powaliła na kolana ale była nawet do poczytania, tak w filmie większość treści została okrojona, dosyć mocno okrojona przez co film z minuty na minutę coraz bardziej zawodzi i przychyla mnie raczej ku opinii, że jest SŁABY.              ",47.0,51.0,9.0
positive,negative,"[to, ten, film, erotyk, to, ten, jakby, porno, do, ojciec, ocean, gust, si, on, nie, dyskutować, to, ten, jednak, mocno, dziwić, dziwy, potrafiać, tu, nawet, czy, gwiazdka]",1.0,"Nieporozumienie                        Porownywanie tego filmu z erotykiem to jakby porownywac porno do sztuki. I choc o gustach sie nie dyskutuje, to jednak mocno dziwi, ze niektorzy potrafia postawic tu nawet 9 czy 10 gwiazdek              ",33.0,27.0,7.0
negative,negative,"[znać, ktoś, zły, film, oda, od, to, ten, ja, miąć, to, ten, ciekawić, ciekawy, czy, dać, da, się, znaleźć, duży, wielki, gniot, wiek, historia, aktorski, naprawdę, rewelacyjny, idealny, dla, osoba, który, maić, maja, mieć, problem, film, natychmiastowo, mój, mieć, się, ochota, iścić, iść, do, toaleta, oczyścić, swoić, swój, podczas, oglądać, zastanawiać, się, czy, płakać, ojciec, ocean, stracić, stracony, czas, czy, śmiać, się]",1.0,"Kaszana                        Czy zna ktoś gorsze filmy od tego? Niesamowicie mnie to ciekawi, czy da się znaleźć większego gniota w historii kinematografii.Gra aktorska naprawdę rewelacyjna! Jest idealna dla osób, które mają problemy z zaparciami. Po filmie natychmiastowo ma się ochotę iść do toalety i oczyścić swój organizm. Świetne dialogi- podczas oglądania zastanawiasz się, czy płakać o stracony czas, czy śmiać się z ...              ",61.0,62.0,21.0
positive,positive,"[Książek, ojciec, ocean, wiele, dobry, Książek, być, ojciec, ocean, wiele, najpierw, książka, potem, pot, pójść, do, kino, kin, kina, na, się]",7.0,"Książka o wiele lepsza                        Książka jest o wiele lepsza. Przeczytałem najpierw książkę, potem  poszedłem do kina na premierę. Zawiodłem się totalnie.               ",21.0,21.0,4.0
positive,negative,"[lud, człowiek, ludzie, co, to, ten, porno, czy, co]",4.0,ludzie                          co to porno czy  co              ,6.0,9.0,3.0
positive,positive,"[erekcja, jak, jaka, si, Johnson, wiece, wiec, dać, dama, gwiazdka, na, jej, on, to, ten, psychopata, ale, być, przystojny, wiece, wiec, dziewczyna, na, to, ten, oko, na, mój, mieć, cosinus, tylko, go, on, fantazja, ciut, panienka, jeszcze, wiek, wiece, wiec]",7.0,"Dostalem                        erekcji patrzac jak sie prezy corcia Dona Johnsona, wiec dam 8 gwiazdek na ksztalt jej przeslicznego biustu. Grey to niezly psychopata i zboczuch, ale jest przystojny, wiec dziewczyny przymykaja na to oko i ida na calosc. Osobiscie mysle, ze ma cos z Tedka Bundiego tylko go ponosila fantazja ciut bardziej. Chrzescijanin Grey bedzie grzal panienki jeszcze w dwoch czesciach, wiec bedzie mozna poznac nowe ...              ",65.0,40.0,16.0
positive,negative,"[statystyka, statystyk, on, nie, chyba, kobieta, mało, mniej, inteligentny, oda, od, kobieta, jak, jaka, móc, on, imienia, im, imiesłów, si, to, ten, cosinus, taka, tak, już, mi, ja, opowiedzieć, jak, jaka, jej, on, się, podobać, ten, stwierdzić, Tylka, on, teza, on, nie, być, idealny, kobieta, dziwny, chyba, jednak, statystyka, statystyk, przytaczać, Korwin, się, on, nie, mylić, bo, statystyka, statystyk, si, on, nie, mylić, kobieta, szukać, płytki]",1.0,"statystyki nie kłamia chyba kobiety sa mniej inteligentne od kobiet, jak mogło im sie to cos podobac?                        ebun i tak jest. Znajoma już mi opowiedziała, jak jej się własnie podobał ten ""bohater"", stwierdziła ""no ciacho taki wymarzony facet"". Tylko, ze ona tez nie jest idealna, kobiety sa dziwne, chyba jednak statystyki ktore przytacza Korwin się nie mylą, bo statystyki sie nie mylą, wiekszosc kobiet szuka płytkiej prostej ...              ",67.0,66.0,12.0
positive,positive,"[ojciec, ocean, facet, że, być, gorszyć, zły, jednak, to, ten, całkiem, niezły, szczęście, on, nie, chodzić, wiek, on, nim, tylko, ojciec, ocean, pokazać, mocno, erotyczny, scena, uff, bać, się, że, taka, tak, jednak, film, mój, mieć, głęboki, głębszy, maić, mieć, za, się, ciężki, dzieciństwo, bać, boja, się, czułość, czułości, bać, boja, się, dotyk, on, nie, dawać, się, prawa, prawo, prawy, do, dobre, dobry, kazać, kobieta, za, te, ten, ty, wszystek, swój, swoje, nieszczęśliwy]",6.0,"Film o facecie z problemami.                        Myślałam, że będzie gorszy a jednak to całkiem niezły film. Na szczęście nie chodzi w nim tylko o pokazanie mocno erotycznych scen, uff, a bałam się że tak będzie. A jednak film ma głębszy sens. Facet mający za sobą ciężkie dzieciństwo, boi się czułości, boi się dotyku, nie daje sobie prawa do dobrych uczuć. No i każe kobiety za te wszystkie swoje nieszczęśliwe przeżycia. Przyznam, że ...              ",71.0,73.0,22.0
negative,negative,"[czyli, dwa, zmarnować]",3.0,""" 50 twarzy Greya"" czyli dwie zmarnowane godziny.",8.0,3.0,0.0
negative,negative,"[scena, rozdziewiczać, jeszcze, jako, jaka, taka, tako, potem, pot, to, ten, już, tylko, tani, niemiecki, erotyk, erotyka, lato, rok, aktor, aktorka, on, nie, gol, goły, golić, noga, młody, właściciel, firma, telekomunikacyjny, film, dla, scena, rozdziewiczać, jeszcze, jako, jaka, taka, tako, potem, pot, to, ten, już, tylko, tani, niemiecki, erotyk, erotyka, lato, rok]",3.0,"Do sceny rozdziewiczania jeszcze jako tako, a potem to już tylko tani niemiecki erotyk z lat 80.                        1. Obleśni aktorzy! (aktorka nie goli nóg); 2. Miliarder, młody właściciel firmy telekomunikacyjnej - jasne. Generalnie film dla gimbazy.Do sceny rozdziewiczania jeszcze jako tako, a potem to już tylko tani niemiecki erotyk z lat 80.              ",52.0,52.0,9.0
positive,negative,"[że, parodia, być, wierny, adaptacja, oda, od, faktyczny, mówić, wszystko]",1.0,"K                        Fakt, że parodia jest wierniejszą adaptacją od faktycznej ""adaptacji"" mówi wszystko :}              ",13.0,10.0,2.0
negative,positive,"[obejrzeć, się, właśnie, wersja, matka, święta, święto, święty, ojciec, ocean, ile, ił, się, dobrze, kojarzyć, słowa, słowo, wiek, wersja, napis, były, być, przetłumaczyć, jako, jaka, ale, kto, to, ten, tłumaczyć, tłumacz]",10.0,"Do zo bejbiczku...                        obejrzałam sobie właśnie wersję lektorską... matko święta! o ile sobie dobrze kojarzę słowa ""laters baby"" w wersji z napisami były przetłumaczona jako ""strzałka, mała"" ale bejbiczku... kto to tłumaczy!              ",32.0,31.0,10.0
negative,negative,[kolejny],2.0,Tytuł kolejnej części...,3.0,1.0,1.0
negative,negative,"[ja, miąć, bardzo, dość, że, relacja, miedza, bohater, przebiegać, wiek, za, szybki, tempo, temp, to, ten, jeszcze, była, były, być, taka, tak, sztuczny, głowa, aż, odgrywać, postać, pasować, do, się, jak, jaka, pięść, do, oko, zero, chemia, między, mały, plus, za, aktor, odgrywać, bo, na, ekran, prezentować, się, dobrze, lepiej, niżyć, niża, nizać, niż, na, gdyby, dal, dać, inny, aktorka, to, ten, być, choć, trochę, trocha]",2.0,"Wymęczył mnie bardzo                        Nie dość, że relacja miedzy bohaterami przebiega w za szybkim tempie, to jeszcze była tak sztuczna, ze głowa aż boli. Aktorzy odgrywający postaci pasowali do siebie jak pięść do oka, zero chemii między nimi. Jedyny mały plus za aktora odgrywającego Greya, bo na ekranie prezentuje się lepiej niż na zdjęciach. Może gdyby dali inną aktorkę to byłoby choć trochę lepiej.               ",63.0,66.0,17.0
negative,negative,[],2.0,2/10                        Jedyna dobra rzecz w tym filmie to muzyka. Reszta dno...              ,11.0,0.0,0.0
negative,negative,"[refleksja, smutny, leczyć, leczo, lecz, niektóry, odbiorca, sądzić, iż, skoro, nawóz, służyć, do, hodowla, warzywo, owoc, tym, ten, to, sam, musić, muszy, musieć, być, bycie, również, zdatny, do, kupa, zawsze, pozostać, kupa, posypać, on, szczypiorek, podać, na, porcelanowy]",2.0,"Smutna refleksja                        To smutne, lecz niektórzy odbiorcy sądzą, iż skoro nawóz służy do hodowli warzyw i owoców , tym samym musi być również zdatny do spożycia. Niestety kupa zawsze pozostanie kupą, choćbyśmy posypali ją szczypiorkiem i podali na porcelanowej zastawie.              ",40.0,38.0,10.0
positive,negative,"[coś, być, miecić, mieść, mieć, kolejny, częsty, część, długo, być, męczyć, społeczeństwo, swój, swoje, istnieć, istnienie]",1.0,To coś będzie mieć kolejne części!?                        Jak długo 50 Twarzy Idioty będzie męczyć społeczeństwo swoim istnieniem!?              ,16.0,16.0,2.0
positive,negative,"[szczęście, dostać, te, ten, ty, malina, to, ten, prawo, prawie, mama, mieć, do, czynić, czynienie, pierwszy, pierwsze, pierwsza, taki, przypadek, gdy, zwyciężać, wiek, zły, kategoria, egzegeza, inny]",3.0,"Uff                        Na szczęście dostał te maliny! I to prawie wszystkie. Chyba mamy do czynienia z pierwszym takim przypadkiem, gdy ""Grey"" zwycięża w najgorszej kategorii egzegezo z innym filmem.              ",28.0,27.0,9.0
negative,negative,"[Złota, Malina, się, koniec]",1.0,Złote Maliny Brawo!!!!                        Należały się i koniec!!!!!              ,7.0,4.0,1.0
negative,negative,[],3.0,"Zasłużone ""malinki""                         ...              ",3.0,0.0,0.0
negative,positive,[],6.0,Hę???,1.0,0.0,0.0
positive,negative,"[Pan, na, luz, luza, mieć, swoić, swój, boski, to, ten, niech, teraz, kobitka, tenże, też, coś, maić, maja, mieć, to, ten, kino, kin, kina]",4.0,"Panowie na luzie :)                        My mieliśmy swój Nagi Instynkt z boską Sharon, to niech teraz kobitki też coś mają z tego kina :D.               ",23.0,24.0,7.0
negative,negative,"[co, za, lipa, medialny, wokół, film, przeogromny, niestety, ale, prawda, być, taka, taki, że, twórca, kino, kin, kina, potrafić, nieźle, zmanipulować, widz, można, możny, nakręcić, zły, dno, dna, wodorost, taka, tak, zbajerować, człowiek, ludzie, że, gnać, być, do, kino, kin, kina, na, złamać, złamanie, kark, karko, wiek, tym, ten, to, film, być, wszystko, co, zły, mizerny, grać, gra, aktor, zero, wyuzdać, wyuzdany, co, wiek, on, nim, taki, kontrowersyjny, już, instynkt, lub, lubić, zauroczenie, zauroczyć, czy, tenże, też]",2.0,"Uuuuu co za lipa                        Szum medialny wokół filmu przeogromny niestety ale prawda jest taka że twórcy kina potrafią nieźle zmanipulować widza, można nakręcić najgorsze dno z wodorostami a tak zbajerować ludzi że gnać będą do kina na złamanie karku w tym filmie jest wszystko co najgorsze mizerna gra aktorów, zero wyuzdanego sexu co w nim takiego kontrowersyjnego?? To już Nagi instynkt lub Fatalne zauroczenie czy też słynne ...              ",67.0,77.0,21.0
